id	op	line	verdict	rc	failing_tests	killed_by	mutated_line
reject-56-flip	flip	780	KILLED	1	30	S6.1 all four positive controls fire before anything is validated	      || reject B1 "horizon_branches_total and horizon_branches_scanned must both be whole numbers with 0 <= scanned <= total; the horizon's denominator is what makes a partial sweep visible, and a fractional count would make the shell comparisons below error and skip" && return 1
reject-57-drop	drop	787	KILLED	1	1	probe sibling horizon claimed but zero branches scanned         RED  B1	      true B1 "duplication_coverage claims the sibling branches were searched ($dup_sib) with horizon_branches_scanned=0 of $dup_total; a sweep that attempted nothing passes vacuously, which S3.D already calls DEGRADED for mutation" || return 1
reject-57-flip	flip	787	KILLED	1	1	probe sibling horizon claimed but zero branches scanned         RED  B1	      reject B1 "duplication_coverage claims the sibling branches were searched ($dup_sib) with horizon_branches_scanned=0 of $dup_total; a sweep that attempted nothing passes vacuously, which S3.D already calls DEGRADED for mutation" && return 1
reject-58-drop	drop	791	KILLED	1	1	probe a CAPPED horizon sweep still reading PASS                 RED  B1	      true B1 "the horizon sweep covered $dup_scanned of $dup_total sibling branches and the verdict is PASS; the branches it skipped were not searched, and unsearched is DEGRADED (F4)" || return 1
reject-58-flip	flip	791	KILLED	1	1	probe a CAPPED horizon sweep still reading PASS                 RED  B1	      reject B1 "the horizon sweep covered $dup_scanned of $dup_total sibling branches and the verdict is PASS; the branches it skipped were not searched, and unsearched is DEGRADED (F4)" && return 1
reject-59-drop	drop	795	KILLED	1	1	probe symbols_searched absent                                   RED  B1	      || true B1 "pmat.symbols_searched must be a number; a scan whose needle count is unrecorded cannot have its precision judged, and record-only is not unenforced" || return 1
reject-59-flip	flip	795	KILLED	1	25	S6.1 all four positive controls fire before anything is validated	      || reject B1 "pmat.symbols_searched must be a number; a scan whose needle count is unrecorded cannot have its precision judged, and record-only is not unenforced" && return 1
reject-60-drop	drop	803	KILLED	1	1	row 15 finding carrying no grounding mark at all                  RED  B1	      no-grounding\|*)      true B1 "a finding carries no properties.grounding (${v#*|}); an unmarked claim is a defect in the review (S1)" || return 1 ;;
reject-60-flip	flip	803	KILLED	1	1	row 15 finding carrying no grounding mark at all                  RED  B1	      no-grounding\|*)      reject B1 "a finding carries no properties.grounding (${v#*|}); an unmarked claim is a defect in the review (S1)" && return 1 ;;
reject-61-drop	drop	804	KILLED	1	1	probe a grounding mark outside the three categories             RED  B1	      bad-grounding\|*)     true B1 "the grounding of a finding is outside { cited, measured, asserted } (${v#*|})" || return 1 ;;
reject-61-flip	flip	804	KILLED	1	1	probe a grounding mark outside the three categories             RED  B1	      bad-grounding\|*)     reject B1 "the grounding of a finding is outside { cited, measured, asserted } (${v#*|})" && return 1 ;;
reject-62-drop	drop	805	KILLED	1	1	row 11 finding with an empty failure_scenario                     RED  B1	      no-failure-scenario\|*) true B1 "a finding has an empty failure_scenario (${v#*|}); a finding that cannot name the failure it permits is a comment (S4.2)" || return 1 ;;
reject-62-flip	flip	805	KILLED	1	1	row 11 finding with an empty failure_scenario                     RED  B1	      no-failure-scenario\|*) reject B1 "a finding has an empty failure_scenario (${v#*|}); a finding that cannot name the failure it permits is a comment (S4.2)" && return 1 ;;
reject-63-drop	drop	806	KILLED	1	1	probe a cited finding with an empty source                      RED  B1	      cited-no-source\|*)   true B1 "a cited finding has an empty source (${v#*|}); a citation with no source is an assertion wearing the mark of a citation (S1.1)" || return 1 ;;
reject-63-flip	flip	806	KILLED	1	1	probe a cited finding with an empty source                      RED  B1	      cited-no-source\|*)   reject B1 "a cited finding has an empty source (${v#*|}); a citation with no source is an assertion wearing the mark of a citation (S1.1)" && return 1 ;;
reject-64-drop	drop	807	KILLED	1	1	row 3  cited finding with an empty excerpt                        RED  B1	      cited-no-excerpt\|*)  true B1 "a cited finding has an empty excerpt (${v#*|}); a recorded excerpt that is not there is the same failure as no excerpt (S1.1)" || return 1 ;;
reject-64-flip	flip	807	KILLED	1	1	row 3  cited finding with an empty excerpt                        RED  B1	      cited-no-excerpt\|*)  reject B1 "a cited finding has an empty excerpt (${v#*|}); a recorded excerpt that is not there is the same failure as no excerpt (S1.1)" && return 1 ;;
reject-65-drop	drop	808	KILLED	1	1	probe a cited finding with no excerpt_sha256                    RED  B1	      cited-no-digest\|*)   true B1 "a cited finding has no excerpt_sha256 (${v#*|}); cited is verified, not just labelled (S1.1)" || return 1 ;;
reject-65-flip	flip	808	KILLED	1	1	probe a cited finding with no excerpt_sha256                    RED  B1	      cited-no-digest\|*)   reject B1 "a cited finding has no excerpt_sha256 (${v#*|}); cited is verified, not just labelled (S1.1)" && return 1 ;;
reject-66-drop	drop	809	KILLED	1	1	probe an asserted finding classed blocking                      RED  B1	      asserted-blocking\|*) true B1 "a finding marked asserted is classed blocking (${v#*|}); an asserted claim never blocks (S1)" || return 1 ;;
reject-66-flip	flip	809	KILLED	1	1	probe an asserted finding classed blocking                      RED  B1	      asserted-blocking\|*) reject B1 "a finding marked asserted is classed blocking (${v#*|}); an asserted claim never blocks (S1)" && return 1 ;;
reject-67-drop	drop	837	KILLED	1	1	row 12 excerpt_sha256 is not sha256(excerpt)                      RED  B1	      || true B1 "cited finding '$id' records excerpt_sha256 $want but sha256(excerpt) is $got; a citation whose digest does not match its excerpt is not verified (S1.1)" || return 1
reject-67-flip	flip	837	KILLED	1	5	row 12 excerpt_sha256 is not sha256(excerpt)                      RED  B1	      || reject B1 "cited finding '$id' records excerpt_sha256 $want but sha256(excerpt) is $got; a citation whose digest does not match its excerpt is not verified (S1.1)" && return 1
reject-68-drop	drop	849	KILLED	1	1	row 4  comparative claim with no comparator command or hash       RED  B4	    true B4 "$claim" || return 1
reject-68-flip	flip	849	KILLED	1	1	row 4  comparative claim with no comparator command or hash       RED  B4	    reject B4 "$claim" && return 1
reject-69-drop	drop	874	KILLED	1	1	probe a competitor ratio stated in a finding but never recorded RED  B4	      [ "$n_recorded" -gt 0 ] || true B4 "finding $id states a comparative claim -- $(printf '%s' "$got" | cut -c1-70) -- but consultations.crux.comparative_claims is empty; a competitor ratio with no recorded comparator is unverified, per S3.C.1" || return 1
reject-69-flip	flip	874	KILLED	1	6	row 14 complete GPU review, all four consulted, findings        GREEN     [discrimination]	      [ "$n_recorded" -gt 0 ] || reject B4 "finding $id states a comparative claim -- $(printf '%s' "$got" | cut -c1-70) -- but consultations.crux.comparative_claims is empty; a competitor ratio with no recorded comparator is unverified, per S3.C.1" && return 1
reject-70-drop	drop	909	KILLED	1	3	row 16 the diff publishes a ratio, nothing records it           RED  B4	      true B4 "the diff publishes a comparative claim on a user-facing surface -- $dfile: $(printf '%s' "$dline" | cut -c1-70) -- while consultations.crux.comparative_claims is empty; a competitor ratio the review never recorded is unverified and blocks (S3.C.1)" || return 1
reject-70-flip	flip	909	KILLED	1	3	row 16 the diff publishes a ratio, nothing records it           RED  B4	      reject B4 "the diff publishes a comparative claim on a user-facing surface -- $dfile: $(printf '%s' "$dline" | cut -c1-70) -- while consultations.crux.comparative_claims is empty; a competitor ratio the review never recorded is unverified and blocks (S3.C.1)" && return 1
repo-fallback-dropped	text	283	KILLED	1	1	no PR_REVIEW_REPO and no git repository is a REJECTION	if false; then
rs-line-test-not-applied	text	249	KILLED	1	1	row 22 the printed ratio fires, the quoted one two lines up does not  RED  B4	  case "$1" in *.rs) true ;; esac
rs-published-predicate-verdict-not-propagated	text	263	KILLED	1	2	the .rs line test matches its case table, both polarities	  --match-rs-published) match_rs_published "${2?--match-rs-published needs an argument}"; exit 1 ;;
rs-published-regex-matches-everything	text	239	KILLED	1	3	row 22 the printed ratio fires, the quoted one two lines up does not  RED  B4	RS_PUBLISHED_RE='(.)'
rs-published-regex-never-matches	text	239	KILLED	1	3	row 22 the printed ratio fires, the quoted one two lines up does not  RED  B4	RS_PUBLISHED_RE='(^$)'
self-review-misclassified-B1	text	425	KILLED	1	93	S6.1 all four positive controls fire before anything is validated	    || reject B1 "reviewer_actor.id = author_actor.id = '$author'; a self-review is not a review (S5)" || return 1
shipped-surface-predicate-verdict-not-propagated	text	259	KILLED	1	2	the shipped surface B4 scans matches its case table, both polarities	  --match-shipped-surface) match_shipped_surface "${2?--match-shipped-surface needs an argument}"; exit 1 ;;
stale-index-misclassified-B1	text	667	KILLED	1	1	row 9  index_commit not an ancestor of head_sha, verdict PASS     RED  B6	      reject B1 "index_commit $idx is not an ancestor of head $head and the verdict is PASS; a stale index answers about code that is not in this PR (S3.A)" || return 1
target-predicate-verdict-not-propagated	text	262	KILLED	1	1	the target suppressor matches its case table, both polarities	  --match-target)      match_target       "${2?--match-target needs an argument}";      exit 1 ;;
target-suppressor-matches-everything	text	119	KILLED	1	5	row 16 the diff publishes a ratio, nothing records it           RED  B4	TARGET_RE='(.)'
target-suppressor-never-matches	text	119	KILLED	1	1	the target suppressor matches its case table, both polarities	TARGET_RE='(^$)'
tools-absent-is-a-skip	text	274	KILLED	1	1	a tool the guard needs and cannot find is a REJECTION, not a skip	if false; then
zero-receipts-is-a-pass	text	1045	KILLED	1	1	a run over zero receipts is not a pass	if false; then
