name	op	type	ne_at_first_sight
cache_r_l9 (view) (copy of )	CPY	f32	18432x0x1x1
conv_states_reshaped-9	RESHAPE	f32	3x6144x1x1
node_546	MUL_MAT	f32	6144x1x1x1
linear_attn_qkv_mixed-9	RESHAPE	f32	6144x1x1x1
qkv_mixed_transposed-9	TRANSPOSE	f32	1x6144x1x1
conv_input-9	CONCAT	f32	4x6144x1x1
conv_state_last-9	VIEW	f32	3x6144x1x1
conv_state_update-9	VIEW	f32	18432x1x1x1
conv_state_update-9 (copy of conv_state_last-9)	CPY	f32	18432x1x1x1
cache_s_l9 (reshaped)	RESHAPE	f32	262144x1x1x1
cache_s_l9 (reshaped) (view)	VIEW	f32	262144x1x1x1
cache_s_l9 (reshaped) (view) (view)	SCALE	f32	262144x1x1x1
node_556	GET_ROWS	f32	262144x1x1x1
node_557	GET_ROWS	f32	262144x0x1x1
cache_s_l9 (view)	VIEW	f32	262144x0x1x1
cache_s_l9 (view) (copy of )	CPY	f32	262144x0x1x1
conv_output_raw-9	SSM_CONV	f32	6144x1x1x1
conv_output_silu-9	SILU	f32	6144x1x1x1
q_conv-9	VIEW	f32	128x16x1x1
node_563	RMS_NORM	f32	128x16x1x1
q_conv_predelta-9	SCALE	f32	128x16x1x1
k_conv-9	VIEW	f32	128x16x1x1
node_566	RMS_NORM	f32	128x16x1x1
k_conv_predelta-9	SCALE	f32	128x16x1x1
v_conv_predelta-9	VIEW	f32	128x16x1x1
node_569	MUL_MAT	f32	16x1x1x1
alpha-9	RESHAPE	f32	16x1x1x1
node_571	ADD	f32	16x1x1x1
a_softplus-9	SOFTPLUS	f32	16x1x1x1
gate-9	MUL	f32	16x1x1x1
gate-9 (reshaped)	RESHAPE	f32	1x16x1x1
node_575	MUL_MAT	f32	16x1x1x1
beta-9	RESHAPE	f32	1x16x1x1
beta_sigmoid-9	SIGMOID	f32	1x16x1x1
state_predelta-9	RESHAPE	f32	128x128x16x1
node_579	GATED_DELTA_NET	f32	2048x129x1x1
new_state-9	VIEW	f32	128x128x16x1
cache_s_l9 (view) (copy of new_state-9)	CPY	f32	262144x1x1x1
attn_output-9	VIEW	f32	128x16x1x1
node_585	MUL	f32	128x16x1x1
z-9	MUL_MAT	f32	2048x1x1x1
z-9 (reshaped)	RESHAPE	f32	128x16x1x1
node_588	SILU	f32	128x16x1x1
node_589	MUL	f32	128x16x1x1
final_output-9	RESHAPE	f32	2048x1x1x1
linear_attn_out-9	MUL_MAT	f32	1024x1x1x1
linear_attn_out-9 (reshaped)	RESHAPE	f32	1024x1x1x1
attn_residual-9	ADD	f32	1024x1x1x1
attn_post_norm-9	MUL	f32	1024x1x1x1
ffn_gate-9	MUL_MAT	f32	3584x1x1x1
ffn_up-9	MUL_MAT	f32	3584x1x1x1
ffn_swiglu-9	SWIGLU	f32	3584x1x1x1
ffn_out-9	MUL_MAT	f32	1024x1x1x1
l_out-9	ADD	f32	1024x1x1x1
norm-10	RMS_NORM	f32	1024x1x1x1
attn_norm-10	MUL	f32	1024x1x1x1
cache_r_l10 (reshaped)	RESHAPE	f32	18432x1x1x1
cache_r_l10 (reshaped) (view)	VIEW	f32	18432x1x1x1
cache_r_l10 (reshaped) (view) (view)	SCALE	f32	18432x1x1x1
conv_states-10	GET_ROWS	f32	18432x1x1x1
node_607	GET_ROWS	f32	18432x0x1x1
cache_r_l10 (view)	VIEW	f32	18432x0x1x1
cache_r_l10 (view) (copy of )	CPY	f32	18432x0x1x1
conv_states_reshaped-10	RESHAPE	f32	3x6144x1x1
node_611	MUL_MAT	f32	6144x1x1x1
linear_attn_qkv_mixed-10	RESHAPE	f32	6144x1x1x1
qkv_mixed_transposed-10	TRANSPOSE	f32	1x6144x1x1
conv_input-10	CONCAT	f32	4x6144x1x1
conv_state_last-10	VIEW	f32	3x6144x1x1
conv_state_update-10	VIEW	f32	18432x1x1x1
conv_state_update-10 (copy of conv_state_last-10)	CPY	f32	18432x1x1x1
cache_s_l10 (reshaped)	RESHAPE	f32	262144x1x1x1
cache_s_l10 (reshaped) (view)	VIEW	f32	262144x1x1x1
cache_s_l10 (reshaped) (view) (view)	SCALE	f32	262144x1x1x1
node_621	GET_ROWS	f32	262144x1x1x1
node_622	GET_ROWS	f32	262144x0x1x1
cache_s_l10 (view)	VIEW	f32	262144x0x1x1
cache_s_l10 (view) (copy of )	CPY	f32	262144x0x1x1
conv_output_raw-10	SSM_CONV	f32	6144x1x1x1
conv_output_silu-10	SILU	f32	6144x1x1x1
q_conv-10	VIEW	f32	128x16x1x1
node_628	RMS_NORM	f32	128x16x1x1
q_conv_predelta-10	SCALE	f32	128x16x1x1
k_conv-10	VIEW	f32	128x16x1x1
node_631	RMS_NORM	f32	128x16x1x1
k_conv_predelta-10	SCALE	f32	128x16x1x1
v_conv_predelta-10	VIEW	f32	128x16x1x1
node_634	MUL_MAT	f32	16x1x1x1
alpha-10	RESHAPE	f32	16x1x1x1
node_636	ADD	f32	16x1x1x1
a_softplus-10	SOFTPLUS	f32	16x1x1x1
gate-10	MUL	f32	16x1x1x1
gate-10 (reshaped)	RESHAPE	f32	1x16x1x1
node_640	MUL_MAT	f32	16x1x1x1
beta-10	RESHAPE	f32	1x16x1x1
beta_sigmoid-10	SIGMOID	f32	1x16x1x1
state_predelta-10	RESHAPE	f32	128x128x16x1
node_644	GATED_DELTA_NET	f32	2048x129x1x1
new_state-10	VIEW	f32	128x128x16x1
cache_s_l10 (view) (copy of new_state-10)	CPY	f32	262144x1x1x1
attn_output-10	VIEW	f32	128x16x1x1
node_650	MUL	f32	128x16x1x1
z-10	MUL_MAT	f32	2048x1x1x1
z-10 (reshaped)	RESHAPE	f32	128x16x1x1
node_653	SILU	f32	128x16x1x1
node_654	MUL	f32	128x16x1x1
final_output-10	RESHAPE	f32	2048x1x1x1
linear_attn_out-10	MUL_MAT	f32	1024x1x1x1
linear_attn_out-10 (reshaped)	RESHAPE	f32	1024x1x1x1
attn_residual-10	ADD	f32	1024x1x1x1
attn_post_norm-10	MUL	f32	1024x1x1x1
ffn_gate-10	MUL_MAT	f32	3584x1x1x1
ffn_up-10	MUL_MAT	f32	3584x1x1x1
ffn_swiglu-10	SWIGLU	f32	3584x1x1x1
ffn_out-10	MUL_MAT	f32	1024x1x1x1
l_out-10	ADD	f32	1024x1x1x1
norm-11	RMS_NORM	f32	1024x1x1x1
attn_norm-11	MUL	f32	1024x1x1x1
Qcur_full-11	MUL_MAT	f32	4096x1x1x1
Qcur_reshaped-11	VIEW	f32	256x8x1x1
Qcur_normed-11	MUL	f32	256x8x1x1
Qcur-11	ROPE	f32	256x8x1x1
Vcur-11	MUL_MAT	f32	512x1x1x1
Kcur-11	MUL_MAT	f32	512x1x1x1
Kcur-11 (reshaped)	RESHAPE	f32	256x2x1x1
Kcur_normed-11	MUL	f32	256x2x1x1
Kcur-11 (view)	VIEW	f32	512x1x1x1
cache_k_l11 (view)	SET_ROWS	f16	512x256x1x1
Vcur-11 (view)	VIEW	f32	512x1x1x1
cache_v_l11 (view)	SET_ROWS	f16	512x256x1x1
Qcur-11 (view)	VIEW	f32	256x8x1x1
Qcur-11 (view) (permuted)	PERMUTE	f32	256x1x8x1
cache_k_l11 (view) (permuted)	PERMUTE	f16	256x256x2x1
cache_v_l11 (view) (permuted)	PERMUTE	f16	256x256x2x1
node_690	FLASH_ATTN_EXT	f32	256x8x1x1
attn_pregate-11	RESHAPE	f32	2048x1x1x1
Qcur_full-11 (view)	VIEW	f32	256x8x1x1
gate_reshaped-11	CONT	f32	2048x1x1x1
gate_sigmoid-11	SIGMOID	f32	2048x1x1x1
attn_gated-11	MUL	f32	2048x1x1x1
attn_output-11	MUL_MAT	f32	1024x1x1x1
attn_residual-11	ADD	f32	1024x1x1x1
attn_post_norm-11	MUL	f32	1024x1x1x1
ffn_gate-11	MUL_MAT	f32	3584x1x1x1
ffn_up-11	MUL_MAT	f32	3584x1x1x1
ffn_swiglu-11	SWIGLU	f32	3584x1x1x1
ffn_out-11	MUL_MAT	f32	1024x1x1x1
l_out-11	ADD	f32	1024x1x1x1
norm-12	RMS_NORM	f32	1024x1x1x1
attn_norm-12	MUL	f32	1024x1x1x1
cache_r_l12 (reshaped)	RESHAPE	f32	18432x1x1x1
cache_r_l12 (reshaped) (view)	VIEW	f32	18432x1x1x1
cache_r_l12 (reshaped) (view) (view)	SCALE	f32	18432x1x1x1
conv_states-12	GET_ROWS	f32	18432x1x1x1
node_711	GET_ROWS	f32	18432x0x1x1
cache_r_l12 (view)	VIEW	f32	18432x0x1x1
cache_r_l12 (view) (copy of )	CPY	f32	18432x0x1x1
conv_states_reshaped-12	RESHAPE	f32	3x6144x1x1
node_715	MUL_MAT	f32	6144x1x1x1
linear_attn_qkv_mixed-12	RESHAPE	f32	6144x1x1x1
qkv_mixed_transposed-12	TRANSPOSE	f32	1x6144x1x1
conv_input-12	CONCAT	f32	4x6144x1x1
conv_state_last-12	VIEW	f32	3x6144x1x1
conv_state_update-12	VIEW	f32	18432x1x1x1
conv_state_update-12 (copy of conv_state_last-12)	CPY	f32	18432x1x1x1
cache_s_l12 (reshaped)	RESHAPE	f32	262144x1x1x1
cache_s_l12 (reshaped) (view)	VIEW	f32	262144x1x1x1
cache_s_l12 (reshaped) (view) (view)	SCALE	f32	262144x1x1x1
node_725	GET_ROWS	f32	262144x1x1x1
node_726	GET_ROWS	f32	262144x0x1x1
cache_s_l12 (view)	VIEW	f32	262144x0x1x1
cache_s_l12 (view) (copy of )	CPY	f32	262144x0x1x1
conv_output_raw-12	SSM_CONV	f32	6144x1x1x1
conv_output_silu-12	SILU	f32	6144x1x1x1
q_conv-12	VIEW	f32	128x16x1x1
node_732	RMS_NORM	f32	128x16x1x1
q_conv_predelta-12	SCALE	f32	128x16x1x1
k_conv-12	VIEW	f32	128x16x1x1
node_735	RMS_NORM	f32	128x16x1x1
k_conv_predelta-12	SCALE	f32	128x16x1x1
v_conv_predelta-12	VIEW	f32	128x16x1x1
node_738	MUL_MAT	f32	16x1x1x1
alpha-12	RESHAPE	f32	16x1x1x1
node_740	ADD	f32	16x1x1x1
a_softplus-12	SOFTPLUS	f32	16x1x1x1
gate-12	MUL	f32	16x1x1x1
gate-12 (reshaped)	RESHAPE	f32	1x16x1x1
node_744	MUL_MAT	f32	16x1x1x1
beta-12	RESHAPE	f32	1x16x1x1
beta_sigmoid-12	SIGMOID	f32	1x16x1x1
state_predelta-12	RESHAPE	f32	128x128x16x1
node_748	GATED_DELTA_NET	f32	2048x129x1x1
new_state-12	VIEW	f32	128x128x16x1
cache_s_l12 (view) (copy of new_state-12)	CPY	f32	262144x1x1x1
attn_output-12	VIEW	f32	128x16x1x1
node_754	MUL	f32	128x16x1x1
z-12	MUL_MAT	f32	2048x1x1x1
z-12 (reshaped)	RESHAPE	f32	128x16x1x1
node_757	SILU	f32	128x16x1x1
node_758	MUL	f32	128x16x1x1
final_output-12	RESHAPE	f32	2048x1x1x1
linear_attn_out-12	MUL_MAT	f32	1024x1x1x1
linear_attn_out-12 (reshaped)	RESHAPE	f32	1024x1x1x1
attn_residual-12	ADD	f32	1024x1x1x1
attn_post_norm-12	MUL	f32	1024x1x1x1
ffn_gate-12	MUL_MAT	f32	3584x1x1x1
ffn_up-12	MUL_MAT	f32	3584x1x1x1
ffn_swiglu-12	SWIGLU	f32	3584x1x1x1
ffn_out-12	MUL_MAT	f32	1024x1x1x1
l_out-12	ADD	f32	1024x1x1x1
norm-13	RMS_NORM	f32	1024x1x1x1
attn_norm-13	MUL	f32	1024x1x1x1
cache_r_l13 (reshaped)	RESHAPE	f32	18432x1x1x1
cache_r_l13 (reshaped) (view)	VIEW	f32	18432x1x1x1
cache_r_l13 (reshaped) (view) (view)	SCALE	f32	18432x1x1x1
conv_states-13	GET_ROWS	f32	18432x1x1x1
node_776	GET_ROWS	f32	18432x0x1x1
cache_r_l13 (view)	VIEW	f32	18432x0x1x1
cache_r_l13 (view) (copy of )	CPY	f32	18432x0x1x1
conv_states_reshaped-13	RESHAPE	f32	3x6144x1x1
node_780	MUL_MAT	f32	6144x1x1x1
linear_attn_qkv_mixed-13	RESHAPE	f32	6144x1x1x1
qkv_mixed_transposed-13	TRANSPOSE	f32	1x6144x1x1
conv_input-13	CONCAT	f32	4x6144x1x1
conv_state_last-13	VIEW	f32	3x6144x1x1
conv_state_update-13	VIEW	f32	18432x1x1x1
conv_state_update-13 (copy of conv_state_last-13)	CPY	f32	18432x1x1x1
cache_s_l13 (reshaped)	RESHAPE	f32	262144x1x1x1
cache_s_l13 (reshaped) (view)	VIEW	f32	262144x1x1x1
cache_s_l13 (reshaped) (view) (view)	SCALE	f32	262144x1x1x1
node_790	GET_ROWS	f32	262144x1x1x1
node_791	GET_ROWS	f32	262144x0x1x1
cache_s_l13 (view)	VIEW	f32	262144x0x1x1
cache_s_l13 (view) (copy of )	CPY	f32	262144x0x1x1
conv_output_raw-13	SSM_CONV	f32	6144x1x1x1
conv_output_silu-13	SILU	f32	6144x1x1x1
q_conv-13	VIEW	f32	128x16x1x1
node_797	RMS_NORM	f32	128x16x1x1
q_conv_predelta-13	SCALE	f32	128x16x1x1
k_conv-13	VIEW	f32	128x16x1x1
node_800	RMS_NORM	f32	128x16x1x1
k_conv_predelta-13	SCALE	f32	128x16x1x1
v_conv_predelta-13	VIEW	f32	128x16x1x1
node_803	MUL_MAT	f32	16x1x1x1
alpha-13	RESHAPE	f32	16x1x1x1
node_805	ADD	f32	16x1x1x1
a_softplus-13	SOFTPLUS	f32	16x1x1x1
gate-13	MUL	f32	16x1x1x1
gate-13 (reshaped)	RESHAPE	f32	1x16x1x1
node_809	MUL_MAT	f32	16x1x1x1
beta-13	RESHAPE	f32	1x16x1x1
beta_sigmoid-13	SIGMOID	f32	1x16x1x1
state_predelta-13	RESHAPE	f32	128x128x16x1
node_813	GATED_DELTA_NET	f32	2048x129x1x1
new_state-13	VIEW	f32	128x128x16x1
cache_s_l13 (view) (copy of new_state-13)	CPY	f32	262144x1x1x1
attn_output-13	VIEW	f32	128x16x1x1
node_819	MUL	f32	128x16x1x1
z-13	MUL_MAT	f32	2048x1x1x1
z-13 (reshaped)	RESHAPE	f32	128x16x1x1
node_822	SILU	f32	128x16x1x1
node_823	MUL	f32	128x16x1x1
final_output-13	RESHAPE	f32	2048x1x1x1
linear_attn_out-13	MUL_MAT	f32	1024x1x1x1
linear_attn_out-13 (reshaped)	RESHAPE	f32	1024x1x1x1
attn_residual-13	ADD	f32	1024x1x1x1
attn_post_norm-13	MUL	f32	1024x1x1x1
ffn_gate-13	MUL_MAT	f32	3584x1x1x1
ffn_up-13	MUL_MAT	f32	3584x1x1x1
ffn_swiglu-13	SWIGLU	f32	3584x1x1x1
ffn_out-13	MUL_MAT	f32	1024x1x1x1
l_out-13	ADD	f32	1024x1x1x1
norm-14	RMS_NORM	f32	1024x1x1x1
attn_norm-14	MUL	f32	1024x1x1x1
cache_r_l14 (reshaped)	RESHAPE	f32	18432x1x1x1
cache_r_l14 (reshaped) (view)	VIEW	f32	18432x1x1x1
cache_r_l14 (reshaped) (view) (view)	SCALE	f32	18432x1x1x1
conv_states-14	GET_ROWS	f32	18432x1x1x1
node_841	GET_ROWS	f32	18432x0x1x1
cache_r_l14 (view)	VIEW	f32	18432x0x1x1
cache_r_l14 (view) (copy of )	CPY	f32	18432x0x1x1
conv_states_reshaped-14	RESHAPE	f32	3x6144x1x1
node_845	MUL_MAT	f32	6144x1x1x1
linear_attn_qkv_mixed-14	RESHAPE	f32	6144x1x1x1
qkv_mixed_transposed-14	TRANSPOSE	f32	1x6144x1x1
conv_input-14	CONCAT	f32	4x6144x1x1
conv_state_last-14	VIEW	f32	3x6144x1x1
conv_state_update-14	VIEW	f32	18432x1x1x1
conv_state_update-14 (copy of conv_state_last-14)	CPY	f32	18432x1x1x1
cache_s_l14 (reshaped)	RESHAPE	f32	262144x1x1x1
cache_s_l14 (reshaped) (view)	VIEW	f32	262144x1x1x1
cache_s_l14 (reshaped) (view) (view)	SCALE	f32	262144x1x1x1
node_855	GET_ROWS	f32	262144x1x1x1
node_856	GET_ROWS	f32	262144x0x1x1
cache_s_l14 (view)	VIEW	f32	262144x0x1x1
cache_s_l14 (view) (copy of )	CPY	f32	262144x0x1x1
conv_output_raw-14	SSM_CONV	f32	6144x1x1x1
conv_output_silu-14	SILU	f32	6144x1x1x1
q_conv-14	VIEW	f32	128x16x1x1
node_862	RMS_NORM	f32	128x16x1x1
q_conv_predelta-14	SCALE	f32	128x16x1x1
k_conv-14	VIEW	f32	128x16x1x1
node_865	RMS_NORM	f32	128x16x1x1
k_conv_predelta-14	SCALE	f32	128x16x1x1
v_conv_predelta-14	VIEW	f32	128x16x1x1
node_868	MUL_MAT	f32	16x1x1x1
alpha-14	RESHAPE	f32	16x1x1x1
node_870	ADD	f32	16x1x1x1
a_softplus-14	SOFTPLUS	f32	16x1x1x1
gate-14	MUL	f32	16x1x1x1
gate-14 (reshaped)	RESHAPE	f32	1x16x1x1
node_874	MUL_MAT	f32	16x1x1x1
beta-14	RESHAPE	f32	1x16x1x1
beta_sigmoid-14	SIGMOID	f32	1x16x1x1
state_predelta-14	RESHAPE	f32	128x128x16x1
node_878	GATED_DELTA_NET	f32	2048x129x1x1
new_state-14	VIEW	f32	128x128x16x1
cache_s_l14 (view) (copy of new_state-14)	CPY	f32	262144x1x1x1
attn_output-14	VIEW	f32	128x16x1x1
node_884	MUL	f32	128x16x1x1
z-14	MUL_MAT	f32	2048x1x1x1
z-14 (reshaped)	RESHAPE	f32	128x16x1x1
node_887	SILU	f32	128x16x1x1
node_888	MUL	f32	128x16x1x1
final_output-14	RESHAPE	f32	2048x1x1x1
linear_attn_out-14	MUL_MAT	f32	1024x1x1x1
linear_attn_out-14 (reshaped)	RESHAPE	f32	1024x1x1x1
attn_residual-14	ADD	f32	1024x1x1x1
attn_post_norm-14	MUL	f32	1024x1x1x1
ffn_gate-14	MUL_MAT	f32	3584x1x1x1
ffn_up-14	MUL_MAT	f32	3584x1x1x1
ffn_swiglu-14	SWIGLU	f32	3584x1x1x1
ffn_out-14	MUL_MAT	f32	1024x1x1x1
l_out-14	ADD	f32	1024x1x1x1
norm-15	RMS_NORM	f32	1024x1x1x1
attn_norm-15	MUL	f32	1024x1x1x1
Qcur_full-15	MUL_MAT	f32	4096x1x1x1
Qcur_reshaped-15	VIEW	f32	256x8x1x1
Qcur_normed-15	MUL	f32	256x8x1x1
Qcur-15	ROPE	f32	256x8x1x1
Vcur-15	MUL_MAT	f32	512x1x1x1
Kcur-15	MUL_MAT	f32	512x1x1x1
Kcur-15 (reshaped)	RESHAPE	f32	256x2x1x1
Kcur_normed-15	MUL	f32	256x2x1x1
Kcur-15 (view)	VIEW	f32	512x1x1x1
cache_k_l15 (view)	SET_ROWS	f16	512x256x1x1
Vcur-15 (view)	VIEW	f32	512x1x1x1
cache_v_l15 (view)	SET_ROWS	f16	512x256x1x1
Qcur-15 (view)	VIEW	f32	256x8x1x1
Qcur-15 (view) (permuted)	PERMUTE	f32	256x1x8x1
cache_k_l15 (view) (permuted)	PERMUTE	f16	256x256x2x1
cache_v_l15 (view) (permuted)	PERMUTE	f16	256x256x2x1
node_924	FLASH_ATTN_EXT	f32	256x8x1x1
attn_pregate-15	RESHAPE	f32	2048x1x1x1
Qcur_full-15 (view)	VIEW	f32	256x8x1x1
gate_reshaped-15	CONT	f32	2048x1x1x1
gate_sigmoid-15	SIGMOID	f32	2048x1x1x1
attn_gated-15	MUL	f32	2048x1x1x1
attn_output-15	MUL_MAT	f32	1024x1x1x1
attn_residual-15	ADD	f32	1024x1x1x1
attn_post_norm-15	MUL	f32	1024x1x1x1
ffn_gate-15	MUL_MAT	f32	3584x1x1x1
ffn_up-15	MUL_MAT	f32	3584x1x1x1
ffn_swiglu-15	SWIGLU	f32	3584x1x1x1
ffn_out-15	MUL_MAT	f32	1024x1x1x1
l_out-15	ADD	f32	1024x1x1x1
norm-16	RMS_NORM	f32	1024x1x1x1
attn_norm-16	MUL	f32	1024x1x1x1
cache_r_l16 (reshaped)	RESHAPE	f32	18432x1x1x1
cache_r_l16 (reshaped) (view)	VIEW	f32	18432x1x1x1
cache_r_l16 (reshaped) (view) (view)	SCALE	f32	18432x1x1x1
conv_states-16	GET_ROWS	f32	18432x1x1x1
node_945	GET_ROWS	f32	18432x0x1x1
cache_r_l16 (view)	VIEW	f32	18432x0x1x1
cache_r_l16 (view) (copy of )	CPY	f32	18432x0x1x1
conv_states_reshaped-16	RESHAPE	f32	3x6144x1x1
node_949	MUL_MAT	f32	6144x1x1x1
linear_attn_qkv_mixed-16	RESHAPE	f32	6144x1x1x1
qkv_mixed_transposed-16	TRANSPOSE	f32	1x6144x1x1
conv_input-16	CONCAT	f32	4x6144x1x1
conv_state_last-16	VIEW	f32	3x6144x1x1
conv_state_update-16	VIEW	f32	18432x1x1x1
conv_state_update-16 (copy of conv_state_last-16)	CPY	f32	18432x1x1x1
cache_s_l16 (reshaped)	RESHAPE	f32	262144x1x1x1
cache_s_l16 (reshaped) (view)	VIEW	f32	262144x1x1x1
cache_s_l16 (reshaped) (view) (view)	SCALE	f32	262144x1x1x1
node_959	GET_ROWS	f32	262144x1x1x1
node_960	GET_ROWS	f32	262144x0x1x1
cache_s_l16 (view)	VIEW	f32	262144x0x1x1
cache_s_l16 (view) (copy of )	CPY	f32	262144x0x1x1
conv_output_raw-16	SSM_CONV	f32	6144x1x1x1
conv_output_silu-16	SILU	f32	6144x1x1x1
q_conv-16	VIEW	f32	128x16x1x1
node_966	RMS_NORM	f32	128x16x1x1
q_conv_predelta-16	SCALE	f32	128x16x1x1
k_conv-16	VIEW	f32	128x16x1x1
node_969	RMS_NORM	f32	128x16x1x1
k_conv_predelta-16	SCALE	f32	128x16x1x1
v_conv_predelta-16	VIEW	f32	128x16x1x1
node_972	MUL_MAT	f32	16x1x1x1
alpha-16	RESHAPE	f32	16x1x1x1
node_974	ADD	f32	16x1x1x1
a_softplus-16	SOFTPLUS	f32	16x1x1x1
gate-16	MUL	f32	16x1x1x1
gate-16 (reshaped)	RESHAPE	f32	1x16x1x1
node_978	MUL_MAT	f32	16x1x1x1
beta-16	RESHAPE	f32	1x16x1x1
beta_sigmoid-16	SIGMOID	f32	1x16x1x1
state_predelta-16	RESHAPE	f32	128x128x16x1
node_982	GATED_DELTA_NET	f32	2048x129x1x1
new_state-16	VIEW	f32	128x128x16x1
cache_s_l16 (view) (copy of new_state-16)	CPY	f32	262144x1x1x1
attn_output-16	VIEW	f32	128x16x1x1
node_988	MUL	f32	128x16x1x1
z-16	MUL_MAT	f32	2048x1x1x1
z-16 (reshaped)	RESHAPE	f32	128x16x1x1
node_991	SILU	f32	128x16x1x1
node_992	MUL	f32	128x16x1x1
final_output-16	RESHAPE	f32	2048x1x1x1
linear_attn_out-16	MUL_MAT	f32	1024x1x1x1
linear_attn_out-16 (reshaped)	RESHAPE	f32	1024x1x1x1
attn_residual-16	ADD	f32	1024x1x1x1
attn_post_norm-16	MUL	f32	1024x1x1x1
ffn_gate-16	MUL_MAT	f32	3584x1x1x1
ffn_up-16	MUL_MAT	f32	3584x1x1x1
ffn_swiglu-16	SWIGLU	f32	3584x1x1x1
ffn_out-16	MUL_MAT	f32	1024x1x1x1
l_out-16	ADD	f32	1024x1x1x1
norm-17	RMS_NORM	f32	1024x1x1x1
attn_norm-17	MUL	f32	1024x1x1x1
cache_r_l17 (reshaped)	RESHAPE	f32	18432x1x1x1
cache_r_l17 (reshaped) (view)	VIEW	f32	18432x1x1x1
cache_r_l17 (reshaped) (view) (view)	SCALE	f32	18432x1x1x1
conv_states-17	GET_ROWS	f32	18432x1x1x1
node_1010	GET_ROWS	f32	18432x0x1x1
cache_r_l17 (view)	VIEW	f32	18432x0x1x1
cache_r_l17 (view) (copy of )	CPY	f32	18432x0x1x1
conv_states_reshaped-17	RESHAPE	f32	3x6144x1x1
node_1014	MUL_MAT	f32	6144x1x1x1
linear_attn_qkv_mixed-17	RESHAPE	f32	6144x1x1x1
qkv_mixed_transposed-17	TRANSPOSE	f32	1x6144x1x1
conv_input-17	CONCAT	f32	4x6144x1x1
conv_state_last-17	VIEW	f32	3x6144x1x1
conv_state_update-17	VIEW	f32	18432x1x1x1
conv_state_update-17 (copy of conv_state_last-17)	CPY	f32	18432x1x1x1
cache_s_l17 (reshaped)	RESHAPE	f32	262144x1x1x1
cache_s_l17 (reshaped) (view)	VIEW	f32	262144x1x1x1
cache_s_l17 (reshaped) (view) (view)	SCALE	f32	262144x1x1x1
node_1024	GET_ROWS	f32	262144x1x1x1
node_1025	GET_ROWS	f32	262144x0x1x1
cache_s_l17 (view)	VIEW	f32	262144x0x1x1
cache_s_l17 (view) (copy of )	CPY	f32	262144x0x1x1
conv_output_raw-17	SSM_CONV	f32	6144x1x1x1
conv_output_silu-17	SILU	f32	6144x1x1x1
q_conv-17	VIEW	f32	128x16x1x1
node_1031	RMS_NORM	f32	128x16x1x1
q_conv_predelta-17	SCALE	f32	128x16x1x1
k_conv-17	VIEW	f32	128x16x1x1
node_1034	RMS_NORM	f32	128x16x1x1
k_conv_predelta-17	SCALE	f32	128x16x1x1
v_conv_predelta-17	VIEW	f32	128x16x1x1
node_1037	MUL_MAT	f32	16x1x1x1
alpha-17	RESHAPE	f32	16x1x1x1
node_1039	ADD	f32	16x1x1x1
a_softplus-17	SOFTPLUS	f32	16x1x1x1
gate-17	MUL	f32	16x1x1x1
gate-17 (reshaped)	RESHAPE	f32	1x16x1x1
node_1043	MUL_MAT	f32	16x1x1x1
beta-17	RESHAPE	f32	1x16x1x1
beta_sigmoid-17	SIGMOID	f32	1x16x1x1
state_predelta-17	RESHAPE	f32	128x128x16x1
node_1047	GATED_DELTA_NET	f32	2048x129x1x1
new_state-17	VIEW	f32	128x128x16x1
cache_s_l17 (view) (copy of new_state-17)	CPY	f32	262144x1x1x1
attn_output-17	VIEW	f32	128x16x1x1
node_1053	MUL	f32	128x16x1x1
z-17	MUL_MAT	f32	2048x1x1x1
z-17 (reshaped)	RESHAPE	f32	128x16x1x1
node_1056	SILU	f32	128x16x1x1
node_1057	MUL	f32	128x16x1x1
final_output-17	RESHAPE	f32	2048x1x1x1
linear_attn_out-17	MUL_MAT	f32	1024x1x1x1
linear_attn_out-17 (reshaped)	RESHAPE	f32	1024x1x1x1
attn_residual-17	ADD	f32	1024x1x1x1
attn_post_norm-17	MUL	f32	1024x1x1x1
ffn_gate-17	MUL_MAT	f32	3584x1x1x1
ffn_up-17	MUL_MAT	f32	3584x1x1x1
ffn_swiglu-17	SWIGLU	f32	3584x1x1x1
ffn_out-17	MUL_MAT	f32	1024x1x1x1
l_out-17	ADD	f32	1024x1x1x1
norm-18	RMS_NORM	f32	1024x1x1x1
attn_norm-18	MUL	f32	1024x1x1x1
cache_r_l18 (reshaped)	RESHAPE	f32	18432x1x1x1
cache_r_l18 (reshaped) (view)	VIEW	f32	18432x1x1x1
cache_r_l18 (reshaped) (view) (view)	SCALE	f32	18432x1x1x1
conv_states-18	GET_ROWS	f32	18432x1x1x1
node_1075	GET_ROWS	f32	18432x0x1x1
cache_r_l18 (view)	VIEW	f32	18432x0x1x1
cache_r_l18 (view) (copy of )	CPY	f32	18432x0x1x1
conv_states_reshaped-18	RESHAPE	f32	3x6144x1x1
node_1079	MUL_MAT	f32	6144x1x1x1
linear_attn_qkv_mixed-18	RESHAPE	f32	6144x1x1x1
qkv_mixed_transposed-18	TRANSPOSE	f32	1x6144x1x1
conv_input-18	CONCAT	f32	4x6144x1x1
conv_state_last-18	VIEW	f32	3x6144x1x1
conv_state_update-18	VIEW	f32	18432x1x1x1
conv_state_update-18 (copy of conv_state_last-18)	CPY	f32	18432x1x1x1
